customerkey,customercode,customername,customertype,customersegment,regionkey,channel,isactive
1,C001,Customer 001,Retail,Bronze,2,B2C,True
2,C002,Customer 002,Distributor,Gold,1,B2C,True
3,C003,Customer 003,Retail,Silver,1,B2B,True
4,C004,Customer 004,Online,Bronze,3,B2B,True
5,C005,Customer 005,Online,Silver,4,B2C,True
6,C006,Customer 006,Distributor,Silver,2,B2B,True
7,C007,Customer 007,Online,Bronze,3,B2C,True
8,C008,Customer 008,Online,Silver,3,B2B,True
9,C009,Customer 009,Distributor,Bronze,4,B2B,True
10,C010,Customer 010,Distributor,Gold,2,B2B,True
11,C011,Customer 011,Online,Silver,1,B2C,True
12,C012,Customer 012,Retail,Bronze,4,B2C,True
13,C013,Customer 013,Online,Gold,1,B2C,True
14,C014,Customer 014,Online,Silver,1,B2C,True
15,C015,Customer 015,Retail,Gold,4,B2B,True
16,C016,Customer 016,Online,Bronze,3,B2B,True
17,C017,Customer 017,Online,Gold,3,B2B,True
18,C018,Customer 018,Distributor,Silver,2,B2B,True
19,C019,Customer 019,Online,Silver,4,B2B,True
20,C020,Customer 020,Distributor,Silver,3,B2B,True
21,C021,Customer 021,Distributor,Gold,1,B2B,True
22,C022,Customer 022,Online,Silver,1,B2B,True
23,C023,Customer 023,Distributor,Bronze,4,B2B,True
24,C024,Customer 024,Retail,Bronze,4,B2B,True
25,C025,Customer 025,Online,Bronze,2,B2C,True
26,C026,Customer 026,Retail,Bronze,3,B2C,True
27,C027,Customer 027,Online,Silver,1,B2B,True
28,C028,Customer 028,Distributor,Gold,3,B2B,True
29,C029,Customer 029,Online,Bronze,2,B2B,True
30,C030,Customer 030,Distributor,Gold,1,B2B,True
31,C031,Customer 031,Distributor,Gold,3,B2B,True
32,C032,Customer 032,Online,Gold,3,B2C,True
33,C033,Customer 033,Distributor,Bronze,2,B2C,True
34,C034,Customer 034,Distributor,Silver,4,B2B,True
35,C035,Customer 035,Distributor,Gold,4,B2C,True
36,C036,Customer 036,Retail,Silver,4,B2B,True
37,C037,Customer 037,Online,Bronze,1,B2B,True
38,C038,Customer 038,Retail,Bronze,3,B2B,True
39,C039,Customer 039,Distributor,Gold,2,B2C,True
40,C040,Customer 040,Distributor,Silver,2,B2C,True
