productkey,productcode,productname,brand,category,subcategory,uom,isactive
1,P001,Gamma Electronics 001,Gamma,Electronics,Phone,PCS,True
2,P002,Gamma Food 002,Gamma,Food,Snack,PCS,True
3,P003,Alpha Electronics 003,Alpha,Electronics,Accessory,PCS,True
4,P004,Alpha Beauty 004,Alpha,Beauty,Skincare,PCS,True
5,P005,Gamma Food 005,Gamma,Food,Snack,PCS,True
6,P006,Alpha Electronics 006,Alpha,Electronics,Phone,PCS,True
7,P007,Alpha Beauty 007,Alpha,Beauty,Skincare,PCS,True
8,P008,Gamma Electronics 008,Gamma,Electronics,Accessory,PCS,True
9,P009,Gamma Beauty 009,Gamma,Beauty,Makeup,PCS,True
10,P010,Alpha Food 010,Alpha,Food,Drink,PCS,True
11,P011,Alpha Electronics 011,Alpha,Electronics,Accessory,PCS,True
12,P012,Beta Food 012,Beta,Food,Drink,PCS,True
13,P013,Alpha Electronics 013,Alpha,Electronics,Laptop,PCS,True
14,P014,Alpha Electronics 014,Alpha,Electronics,Laptop,PCS,True
15,P015,Alpha Food 015,Alpha,Food,Drink,PCS,True
16,P016,Gamma Food 016,Gamma,Food,Snack,PCS,True
17,P017,Gamma Food 017,Gamma,Food,Snack,PCS,True
18,P018,Beta Electronics 018,Beta,Electronics,Accessory,PCS,True
19,P019,Beta Beauty 019,Beta,Beauty,Makeup,PCS,True
20,P020,Gamma Electronics 020,Gamma,Electronics,Accessory,PCS,True
21,P021,Alpha Electronics 021,Alpha,Electronics,Accessory,PCS,True
22,P022,Alpha Food 022,Alpha,Food,Snack,PCS,True
23,P023,Alpha Electronics 023,Alpha,Electronics,Laptop,PCS,True
24,P024,Beta Food 024,Beta,Food,Drink,PCS,True
25,P025,Alpha Food 025,Alpha,Food,Drink,PCS,True
26,P026,Alpha Beauty 026,Alpha,Beauty,Makeup,PCS,True
27,P027,Gamma Beauty 027,Gamma,Beauty,Skincare,PCS,True
28,P028,Gamma Beauty 028,Gamma,Beauty,Skincare,PCS,True
29,P029,Gamma Beauty 029,Gamma,Beauty,Skincare,PCS,True
30,P030,Alpha Food 030,Alpha,Food,Drink,PCS,True
