datekey,glaccountkey,regionkey,balanceamount,currency
20240101,4,,93914.37,EUR
20240101,5,1,-61193.75,EUR
20240101,6,4,-9648.39,EUR
20240201,4,4,72760.19,EUR
20240201,5,,-191223.93,EUR
20240201,6,4,19371.95,EUR
20240301,4,4,-37107.99,EUR
20240301,5,3,78498.54,EUR
20240301,6,,29647.61,EUR
20240401,4,4,-133835.44,EUR
20240401,5,2,-121169.42,EUR
20240401,6,4,144313.0,EUR
20240501,4,1,77100.28,EUR
20240501,5,,27808.69,EUR
20240501,6,4,-9340.38,EUR
20240601,4,1,143044.62,EUR
20240601,5,2,-175812.47,EUR
20240601,6,4,13750.45,EUR
20240701,4,3,-156174.01,EUR
20240701,5,1,17044.46,EUR
20240701,6,3,-18898.29,EUR
20240801,4,4,-168824.49,EUR
20240801,5,,28691.87,EUR
20240801,6,,12129.49,EUR
20240901,4,,-99486.35,EUR
20240901,5,4,185577.08,EUR
20240901,6,4,101802.66,EUR
20241001,4,,-135524.79,EUR
20241001,5,4,38615.94,EUR
20241001,6,4,-163822.0,EUR
20241101,4,4,13541.72,EUR
20241101,5,3,-173378.62,EUR
20241101,6,2,-165977.42,EUR
20241201,4,4,53272.29,EUR
20241201,5,4,-114614.73,EUR
20241201,6,3,133723.68,EUR
20250101,4,2,118385.59,EUR
20250101,5,,-165512.89,EUR
20250101,6,,169853.58,EUR
20250201,4,3,134896.68,EUR
20250201,5,4,55929.49,EUR
20250201,6,2,37448.15,EUR
20250301,4,1,84323.3,EUR
20250301,5,1,71249.68,EUR
20250301,6,2,41610.57,EUR
20250401,4,3,-63854.82,EUR
20250401,5,2,119813.03,EUR
20250401,6,3,78736.88,EUR
20250501,4,,198703.89,EUR
20250501,5,2,104216.14,EUR
20250501,6,,177557.72,EUR
20250601,4,,6690.28,EUR
20250601,5,1,99006.05,EUR
20250601,6,,193461.71,EUR
20250701,4,1,113983.85,EUR
20250701,5,3,42882.65,EUR
20250701,6,,-21274.25,EUR
20250801,4,3,184869.12,EUR
20250801,5,2,-84352.64,EUR
20250801,6,1,137624.29,EUR
20250901,4,4,-11886.53,EUR
20250901,5,3,-173851.85,EUR
20250901,6,4,-153875.58,EUR
20251001,4,2,37330.53,EUR
20251001,5,,44614.66,EUR
20251001,6,2,82903.92,EUR
20251101,4,,50486.02,EUR
20251101,5,,-472.26,EUR
20251101,6,4,12470.31,EUR
20251201,4,4,4746.89,EUR
20251201,5,,-1902.88,EUR
20251201,6,2,114965.8,EUR
