datekey,glaccountkey,regionkey,cashflowamount,currency
20240101,7,,-60709.7,EUR
20240101,8,,-1510.97,EUR
20240101,9,,-38040.98,EUR
20240201,7,,27757.08,EUR
20240201,8,,38428.01,EUR
20240201,9,,-57660.27,EUR
20240301,7,,48416.58,EUR
20240301,8,,83066.78,EUR
20240301,9,,-74662.38,EUR
20240401,7,,46347.58,EUR
20240401,8,,-26566.57,EUR
20240401,9,,60067.05,EUR
20240501,7,,-51639.56,EUR
20240501,8,,-6635.79,EUR
20240501,9,,-96827.67,EUR
20240601,7,,26883.72,EUR
20240601,8,,86756.81,EUR
20240601,9,,36324.53,EUR
20240701,7,,84186.45,EUR
20240701,8,,-11369.28,EUR
20240701,9,,-59409.2,EUR
20240801,7,,-31593.43,EUR
20240801,8,,-16571.16,EUR
20240801,9,,-84999.4,EUR
20240901,7,,-61263.57,EUR
20240901,8,,82720.91,EUR
20240901,9,,-98174.61,EUR
20241001,7,,-33211.19,EUR
20241001,8,,-41706.14,EUR
20241001,9,,-84580.69,EUR
20241101,7,,-25169.19,EUR
20241101,8,,-54245.21,EUR
20241101,9,,93679.83,EUR
20241201,7,,-91051.4,EUR
20241201,8,,49080.16,EUR
20241201,9,,76909.09,EUR
20250101,7,,-8976.87,EUR
20250101,8,,54160.87,EUR
20250101,9,,64478.61,EUR
20250201,7,,-76145.98,EUR
20250201,8,,-6683.16,EUR
20250201,9,,-24419.55,EUR
20250301,7,,-60768.32,EUR
20250301,8,,-37357.45,EUR
20250301,9,,62685.82,EUR
20250401,7,,29285.27,EUR
20250401,8,,-2637.71,EUR
20250401,9,,84354.89,EUR
20250501,7,,2594.38,EUR
20250501,8,,2675.03,EUR
20250501,9,,13615.58,EUR
20250601,7,,60350.32,EUR
20250601,8,,50129.79,EUR
20250601,9,,-41999.01,EUR
20250701,7,,-56906.32,EUR
20250701,8,,-53446.27,EUR
20250701,9,,62010.06,EUR
20250801,7,,-73960.16,EUR
20250801,8,,36201.72,EUR
20250801,9,,-47978.24,EUR
20250901,7,,26574.22,EUR
20250901,8,,-66431.92,EUR
20250901,9,,80325.94,EUR
20251001,7,,12835.8,EUR
20251001,8,,74950.88,EUR
20251001,9,,66756.18,EUR
20251101,7,,-54792.31,EUR
20251101,8,,55958.27,EUR
20251101,9,,79534.86,EUR
20251201,7,,-73678.87,EUR
20251201,8,,94939.7,EUR
20251201,9,,99803.61,EUR
