datekey,glaccountkey,regionkey,amount,currency
20240101,1,2,62461.98,EUR
20240101,2,4,62295.87,EUR
20240101,3,3,11735.79,EUR
20240201,1,3,47557.46,EUR
20240201,2,,-6593.06,EUR
20240201,3,4,-19089.57,EUR
20240301,1,,-72187.61,EUR
20240301,2,1,47398.03,EUR
20240301,3,1,-52774.7,EUR
20240401,1,2,43369.79,EUR
20240401,2,1,-41740.52,EUR
20240401,3,2,42439.79,EUR
20240501,1,3,77943.98,EUR
20240501,2,2,75029.22,EUR
20240501,3,3,9754.33,EUR
20240601,1,4,18973.45,EUR
20240601,2,2,60523.91,EUR
20240601,3,2,-40591.31,EUR
20240701,1,1,-50974.14,EUR
20240701,2,1,-60705.85,EUR
20240701,3,,68543.97,EUR
20240801,1,1,-15933.81,EUR
20240801,2,2,61517.36,EUR
20240801,3,4,19954.09,EUR
20240901,1,4,-6739.69,EUR
20240901,2,,-34420.34,EUR
20240901,3,4,25569.85,EUR
20241001,1,4,-34130.43,EUR
20241001,2,,-54012.36,EUR
20241001,3,1,59543.49,EUR
20241101,1,1,-45754.6,EUR
20241101,2,,41454.98,EUR
20241101,3,4,58606.74,EUR
20241201,1,4,12605.61,EUR
20241201,2,2,-63047.66,EUR
20241201,3,1,30330.54,EUR
20250101,1,4,34124.23,EUR
20250101,2,4,-66734.69,EUR
20250101,3,1,3895.12,EUR
20250201,1,4,54811.82,EUR
20250201,2,3,-8313.01,EUR
20250201,3,2,67252.51,EUR
20250301,1,1,-59574.78,EUR
20250301,2,2,14312.22,EUR
20250301,3,4,73714.31,EUR
20250401,1,,-63577.38,EUR
20250401,2,4,3889.5,EUR
20250401,3,3,27556.39,EUR
20250501,1,4,40887.05,EUR
20250501,2,4,63848.16,EUR
20250501,3,,-79968.04,EUR
20250601,1,2,-75122.49,EUR
20250601,2,1,-30267.52,EUR
20250601,3,1,-52586.33,EUR
20250701,1,4,48975.6,EUR
20250701,2,,-63682.1,EUR
20250701,3,4,38145.17,EUR
20250801,1,4,-65128.18,EUR
20250801,2,1,-40573.68,EUR
20250801,3,1,-63616.56,EUR
20250901,1,1,-64379.49,EUR
20250901,2,4,-47755.21,EUR
20250901,3,3,-24357.9,EUR
20251001,1,2,54880.55,EUR
20251001,2,,-38982.85,EUR
20251001,3,1,-57064.67,EUR
20251101,1,1,-79575.39,EUR
20251101,2,2,27325.34,EUR
20251101,3,,-47435.45,EUR
20251201,1,,28423.43,EUR
20251201,2,4,74493.13,EUR
20251201,3,4,7295.93,EUR
