datekey,glaccountkey,regionkey,amount,currency
20240101,1,2.0,62461.98,EUR
20240101,2,4.0,62295.87,EUR
20240101,3,3.0,11735.79,EUR
20240201,1,3.0,47557.46,EUR
20240201,2,,-6593.06,EUR
20240201,3,4.0,-19089.57,EUR
20240301,1,,-72187.61,EUR
20240301,2,1.0,47398.03,EUR
20240301,3,1.0,-52774.7,EUR
20240401,1,2.0,43369.79,EUR
20240401,2,1.0,-41740.52,EUR
20240401,3,2.0,42439.79,EUR
20240501,1,3.0,77943.98,EUR
20240501,2,2.0,75029.22,EUR
20240501,3,3.0,9754.33,EUR
20240601,1,4.0,18973.45,EUR
20240601,2,2.0,60523.91,EUR
20240601,3,2.0,-40591.31,EUR
20240701,1,1.0,-50974.14,EUR
20240701,2,1.0,-60705.85,EUR
20240701,3,,68543.97,EUR
20240801,1,1.0,-15933.81,EUR
20240801,2,2.0,61517.36,EUR
20240801,3,4.0,19954.09,EUR
20240901,1,4.0,-6739.69,EUR
20240901,2,,-34420.34,EUR
20240901,3,4.0,25569.85,EUR
20241001,1,4.0,-34130.43,EUR
20241001,2,,-54012.36,EUR
20241001,3,1.0,59543.49,EUR
20241101,1,1.0,-45754.6,EUR
20241101,2,,41454.98,EUR
20241101,3,4.0,58606.74,EUR
20241201,1,4.0,12605.61,EUR
20241201,2,2.0,-63047.66,EUR
20241201,3,1.0,30330.54,EUR
20250101,1,4.0,34124.23,EUR
20250101,2,4.0,-66734.69,EUR
20250101,3,1.0,3895.12,EUR
20250201,1,4.0,54811.82,EUR
20250201,2,3.0,-8313.01,EUR
20250201,3,2.0,67252.51,EUR
20250301,1,1.0,-59574.78,EUR
20250301,2,2.0,14312.22,EUR
20250301,3,4.0,73714.31,EUR
20250401,1,,-63577.38,EUR
20250401,2,4.0,3889.5,EUR
20250401,3,3.0,27556.39,EUR
20250501,1,4.0,40887.05,EUR
20250501,2,4.0,63848.16,EUR
20250501,3,,-79968.04,EUR
20250601,1,2.0,-75122.49,EUR
20250601,2,1.0,-30267.52,EUR
20250601,3,1.0,-52586.33,EUR
20250701,1,4.0,48975.6,EUR
20250701,2,,-63682.1,EUR
20250701,3,4.0,38145.17,EUR
20250801,1,4.0,-65128.18,EUR
20250801,2,1.0,-40573.68,EUR
20250801,3,1.0,-63616.56,EUR
20250901,1,1.0,-64379.49,EUR
20250901,2,4.0,-47755.21,EUR
20250901,3,3.0,-24357.9,EUR
20251001,1,2.0,54880.55,EUR
20251001,2,,-38982.85,EUR
20251001,3,1.0,-57064.67,EUR
20251101,1,1.0,-79575.39,EUR
20251101,2,2.0,27325.34,EUR
20251101,3,,-47435.45,EUR
20251201,1,,28423.43,EUR
20251201,2,4.0,74493.13,EUR
20251201,3,4.0,7295.93,EUR
