datekey,productkey,warehousekey,openingqty,inboundqty,outboundqty,closingqty,inventoryvalue,averageagedays,provisionamount
20240131,4,3,108.65,43.19,54.0,97.84,2990.3,36.2,578.65
20240131,2,1,127.28,79.55,115.59,91.23999999999998,2580.57,117.3,367.88
20240131,13,2,12.56,34.81,15.88,31.490000000000002,599.7,105.1,29.99
20240131,7,2,168.25,48.25,32.71,183.79,5967.45,12.4,362.06
20240131,3,2,28.89,55.49,52.62,31.759999999999998,1049.7,65.8,167.46
20240131,20,1,1.25,52.97,32.53,21.689999999999998,371.03,51.8,44.32
20240131,18,2,125.1,39.85,80.19,84.75999999999999,1951.47,80.3,72.67
20240131,12,2,166.27,94.59,113.67,147.19,5730.62,80.1,493.02
20240131,10,2,30.91,20.65,117.26,0.0,0.0,78.4,0.0
20240131,9,2,6.41,24.65,28.48,2.5799999999999983,48.62,100.1,0.42
20240229,3,1,53.71,38.45,51.79,40.37,264.49,43.6,40.12
20240229,14,3,12.96,57.93,68.84,2.049999999999997,23.75,36.5,2.91
20240229,27,3,13.5,65.09,10.25,68.34,1818.88,26.5,203.5
20240229,20,3,139.75,88.16,49.98,177.93,1966.11,113.6,132.25
20240229,21,2,89.09,30.46,93.41,26.140000000000015,697.91,35.0,48.13
20240229,15,3,191.47,4.35,76.04,119.77999999999999,3166.35,54.9,15.85
20240229,29,2,46.59,1.32,77.42,0.0,0.0,48.8,0.0
20240229,1,2,113.15,12.33,111.47,14.010000000000005,494.66,33.6,19.86
20240229,25,2,158.77,17.26,3.73,172.3,4877.45,26.7,722.54
20240229,28,2,51.55,26.69,44.94,33.3,761.72,51.6,89.13
20240331,9,1,65.57,93.36,13.12,145.81,2835.11,39.7,425.99
20240331,14,3,97.34,82.7,30.28,149.76000000000002,1249.35,80.2,221.17
20240331,4,3,5.84,1.64,88.05,0.0,0.0,117.7,0.0
20240331,26,2,171.16,39.29,18.64,191.81,5098.99,88.0,969.62
20240331,11,2,182.58,58.45,84.01,157.02000000000004,1152.92,59.7,228.59
20240331,6,2,69.88,39.26,39.52,69.61999999999998,2735.37,97.7,424.13
20240331,21,3,3.78,84.2,81.53,6.450000000000003,200.41,76.4,36.81
20240331,17,3,84.29,79.63,53.39,110.53000000000002,3072.7,84.3,251.74
20240331,29,1,16.41,34.13,8.32,42.220000000000006,669.78,52.3,44.51
20240331,18,3,69.36,14.07,44.6,38.830000000000005,767.64,97.1,20.8
20240430,24,3,58.48,28.7,70.33,16.849999999999994,391.78,106.9,16.49
20240430,21,3,14.73,27.41,93.06,0.0,0.0,36.6,0.0
20240430,1,1,181.63,68.58,115.34,134.86999999999998,4538.81,90.7,589.13
20240430,6,2,190.92,13.71,11.23,193.4,1656.07,19.3,44.36
20240430,13,1,122.02,97.8,41.6,178.22,4023.36,88.9,234.43
20240430,4,3,199.63,95.64,75.99,219.27999999999997,6632.78,24.4,835.95
20240430,9,3,42.08,77.39,118.88,0.5900000000000034,9.17,34.4,0.05
20240430,27,3,13.79,51.08,74.87,0.0,0.0,111.9,0.0
20240430,5,3,132.44,54.41,41.11,145.74,1411.86,111.3,61.62
20240430,17,1,62.22,18.52,26.97,53.769999999999996,418.12,105.3,25.99
20240531,27,3,125.21,57.15,64.01,118.34999999999998,2704.87,80.6,123.16
20240531,29,3,186.58,1.73,79.33,108.98,1743.13,31.4,119.25
20240531,19,2,48.9,70.87,108.55,11.220000000000013,164.83,101.8,2.52
20240531,23,1,166.78,66.46,67.64,165.60000000000002,3933.18,85.1,724.29
20240531,15,2,40.37,0.34,35.11,5.600000000000001,204.0,35.2,40.45
