datekey,productkey,warehousekey,producedqty,scrapqty,machinehours,downtimehours
20240101,8,2,21.12,0.78,5.4,0.94
20240101,10,1,40.68,3.47,16.1,1.32
20240101,2,3,43.99,2.51,11.76,0.36
20240101,14,3,34.11,1.76,14.72,1.63
20240101,5,3,138.23,7.24,14.37,0.19
20240102,25,3,58.5,1.71,11.01,2.6
20240102,7,2,124.71,11.86,7.74,0.39
20240102,6,2,125.24,2.88,19.34,1.88
20240102,1,2,48.23,4.42,1.54,0.08
20240102,15,1,7.62,0.44,16.11,2.77
20240103,24,3,26.17,2.52,10.01,2.86
20240103,16,1,19.99,1.58,16.93,1.02
20240103,28,3,115.97,7.3,4.96,0.59
20240103,14,3,18.84,1.55,10.97,2.6
20240103,2,2,146.67,3.28,12.95,0.07
20240104,17,1,110.36,7.57,3.17,2.98
20240104,22,3,136.71,0.09,18.8,0.12
20240104,20,3,44.03,4.27,19.56,0.2
20240104,8,3,77.56,5.23,8.41,1.87
20240104,13,3,51.81,4.38,5.42,1.76
20240105,29,2,67.21,1.35,1.3,0.76
20240105,25,3,109.13,8.07,11.23,1.13
20240105,9,2,125.68,0.76,19.43,1.37
20240105,6,3,113.62,1.95,9.68,1.8
20240105,19,3,18.36,0.78,17.18,0.96
20240108,17,1,133.75,0.87,14.63,1.45
20240108,29,2,93.74,2.67,13.18,1.57
20240108,20,2,62.42,0.8,5.5,0.62
20240108,18,3,35.5,1.42,4.41,0.14
20240108,5,1,67.84,6.25,13.92,1.93
20240109,28,3,38.12,2.77,19.67,2.92
20240109,2,1,7.86,0.23,7.98,2.81
20240109,24,1,95.22,1.89,12.67,0.51
20240109,22,1,143.45,13.04,13.29,2.62
20240109,19,3,29.46,2.01,16.7,0.47
20240110,8,1,74.5,6.38,5.45,1.49
20240110,26,3,61.42,1.6,14.82,0.83
20240110,24,3,60.41,0.89,18.37,1.94
20240110,1,2,91.5,4.9,13.55,2.53
20240110,7,1,28.32,2.21,3.23,1.27
20240111,1,3,91.82,1.7,15.33,1.12
20240111,27,1,133.99,1.07,2.66,2.72
20240111,7,1,109.04,3.81,19.87,2.98
20240111,2,1,121.23,0.67,9.72,1.24
20240111,18,2,133.81,7.3,2.93,2.48
20240112,30,1,41.35,1.54,3.61,0.44
20240112,17,3,30.83,2.04,15.21,2.04
20240112,19,3,16.47,0.64,16.19,2.19
20240112,8,1,71.27,2.59,9.2,1.31
20240112,5,1,71.66,1.08,14.09,2.65
20240115,14,3,20.87,0.59,2.57,0.07
20240115,7,3,18.04,1.54,17.64,2.94
20240115,28,3,148.96,14.27,7.11,2.85
20240115,11,1,0.98,0.07,5.84,0.19
20240115,2,1,118.0,2.99,3.36,0.29
20240116,20,1,117.44,0.03,3.89,2.24
20240116,10,3,70.64,5.72,16.62,2.41
20240116,27,1,93.78,1.59,14.98,0.73
20240116,14,2,146.22,6.43,1.47,1.65
20240116,11,2,30.55,0.91,3.78,2.08
20240117,3,3,47.52,2.54,2.73,0.47
20240117,16,2,56.12,4.27,7.65,0.4
20240117,2,3,86.43,2.16,1.03,2.25
20240117,4,2,18.48,0.02,2.94,0.28
20240117,7,3,78.42,0.21,15.63,2.26
20240118,3,1,99.09,3.82,1.95,2.01
20240118,4,3,0.68,0.05,1.92,2.36
20240118,23,3,85.73,7.82,9.96,2.82
20240118,6,3,89.13,3.91,1.48,0.85
20240118,29,1,15.72,1.26,14.71,2.93
20240119,23,2,54.49,1.7,1.56,1.02
20240119,27,2,147.98,7.22,10.33,0.32
20240119,10,2,61.49,3.21,14.12,0.76
20240119,18,1,22.66,0.59,8.45,1.16
20240119,8,1,121.5,11.42,2.91,2.76
20240122,20,3,146.08,9.22,8.37,0.75
20240122,14,1,89.86,3.87,1.37,0.85
20240122,1,1,37.75,0.42,18.3,0.44
20240122,19,2,115.07,6.21,1.96,1.98
20240122,7,3,146.31,3.49,4.91,1.88
20240123,10,3,24.36,1.36,18.97,2.6
20240123,26,3,148.58,9.02,14.4,2.3
20240123,16,1,92.19,1.75,15.35,1.71
20240123,4,1,125.84,1.29,11.25,2.33
20240123,11,2,96.66,5.16,1.71,0.73
20240124,28,1,136.67,10.75,11.43,1.88
20240124,10,3,31.83,1.26,19.41,2.27
20240124,8,3,131.82,5.74,9.76,2.05
20240124,3,3,71.06,0.66,7.26,2.08
20240124,19,2,138.58,12.33,3.53,1.98
20240125,16,2,56.14,2.56,13.38,2.43
20240125,2,1,133.0,11.7,14.69,2.08
20240125,20,2,116.72,9.46,14.69,1.79
20240125,30,3,86.44,2.36,6.96,2.14
20240125,24,1,126.29,2.23,2.94,1.41
20240126,14,3,40.33,2.63,5.79,0.23
20240126,15,1,55.54,3.51,19.37,0.32
20240126,23,3,74.05,0.42,9.45,2.69
20240126,3,2,26.79,2.61,8.78,2.41
