datekey,customerkey,productkey,regionkey,salesrepkey,warehousekey,invoicenumber,invoicelineno,quantity,listprice,discountamount,netsales,cogs,grossmargin,currency
20250123,1,13,3,13,2,INV399105,4,35.13,148.8,818.98,4408.36,3079.51,1328.85,EUR
20250513,10,7,3,4,1,INV707314,5,3.99,69.58,2.78,274.84,176.73,98.11,EUR
20250627,11,2,1,14,1,INV171849,5,4.33,173.75,60.76,691.58,541.15,150.43,EUR
20250806,16,19,1,10,1,INV539589,5,28.7,70.11,104.94,1907.22,1336.8,570.42,EUR
20241117,16,9,4,3,3,INV776856,3,23.4,186.51,816.77,3547.56,1783.69,1763.87,EUR
20250928,37,4,1,9,1,INV630458,3,7.49,76.31,7.86,563.7,323.16,240.54,EUR
20241018,11,15,3,10,3,INV654634,1,33.73,115.37,725.17,3166.26,1681.52,1484.74,EUR
20240517,17,4,1,12,3,INV262998,3,14.81,50.02,50.8,690.0,487.31,202.69,EUR
20240927,33,16,3,14,1,INV196781,4,41.64,18.38,51.06,714.28,385.17,329.11,EUR
20240925,11,24,4,9,3,INV548462,5,1.47,24.3,6.31,29.41,22.68,6.73,EUR
20250712,3,27,3,10,3,INV255287,4,7.24,68.57,89.26,407.19,300.85,106.34,EUR
20240210,23,7,2,11,1,INV470858,5,44.32,87.21,479.79,3385.36,1849.65,1535.71,EUR
20240830,11,26,2,7,1,INV288073,3,39.34,88.23,465.05,3005.92,2165.82,840.1,EUR
20240911,18,6,1,7,1,INV593554,2,10.78,184.51,139.1,1849.92,1380.34,469.58,EUR
20240821,15,1,2,7,2,INV392136,1,48.38,63.03,391.23,2658.16,1647.8,1010.36,EUR
20250703,22,1,1,5,1,INV708792,3,2.87,123.35,24.48,329.53,242.51,87.02,EUR
20250322,39,17,1,7,3,INV299312,3,3.17,92.85,30.61,263.72,195.67,68.05,EUR
20251204,13,12,4,2,3,INV446239,5,16.38,171.12,403.49,2399.46,1415.91,983.55,EUR
20241112,27,11,4,12,2,INV681343,2,10.4,136.34,107.52,1310.42,949.32,361.1,EUR
20240627,40,19,3,7,3,INV974224,1,15.89,49.93,124.68,668.71,456.06,212.65,EUR
20241125,30,15,4,11,1,INV636004,4,39.89,192.37,1129.5,6544.14,4565.55,1978.59,EUR
20241017,33,22,3,2,1,INV805477,3,12.01,47.83,2.81,571.63,327.8,243.83,EUR
20250501,40,28,1,8,2,INV760356,5,10.53,142.31,148.17,1350.35,774.01,576.34,EUR
20251102,1,29,1,13,2,INV329471,2,40.4,142.22,533.83,5211.86,3477.47,1734.39,EUR
20240504,30,5,4,11,3,INV686075,5,16.55,153.5,224.86,2315.57,1723.95,591.62,EUR
20250531,28,27,4,3,3,INV597732,4,13.7,56.98,99.56,681.07,497.01,184.06,EUR
20250617,32,21,2,5,2,INV181247,3,12.49,73.81,164.65,757.24,396.92,360.32,EUR
20240603,15,13,2,12,1,INV167348,4,20.97,113.1,197.22,2174.49,1222.17,952.32,EUR
20250306,25,29,1,14,3,INV498858,4,1.29,76.83,14.94,84.17,63.64,20.53,EUR
20250305,35,24,2,8,1,INV386193,4,24.8,83.88,278.28,1801.94,1332.43,469.51,EUR
20240618,30,30,2,10,3,INV128276,4,30.0,135.97,68.49,4010.61,2521.0,1489.61,EUR
20250417,12,2,3,7,2,INV321941,4,17.02,154.63,199.56,2432.24,1764.84,667.4,EUR
20250307,17,27,1,8,1,INV885408,5,3.55,190.86,30.38,647.17,336.91,310.26,EUR
20251029,3,25,1,4,1,INV979995,1,31.45,55.32,164.78,1575.03,841.57,733.46,EUR
20240811,30,23,3,13,2,INV275939,5,30.76,152.11,107.18,4571.72,3409.54,1162.18,EUR
20241114,7,19,1,5,3,INV810250,4,20.44,145.85,45.31,2935.86,2076.19,859.67,EUR
20251004,16,4,3,14,3,INV729577,1,40.02,117.53,38.63,4664.92,3078.02,1586.9,EUR
20251108,24,3,3,1,2,INV962276,4,6.17,192.55,151.02,1037.01,776.32,260.69,EUR
20251225,10,14,2,12,3,INV782054,3,31.18,184.73,892.37,4867.51,3112.59,1754.92,EUR
20250829,18,11,2,14,1,INV392477,4,12.95,98.29,155.37,1117.49,685.8,431.69,EUR
20240130,32,28,3,3,2,INV322423,3,40.09,74.66,526.98,2466.14,1751.84,714.3,EUR
20241009,36,1,2,2,1,INV855053,4,24.94,154.05,530.67,3311.34,2297.31,1014.03,EUR
20250517,29,26,1,2,2,INV332360,4,34.9,68.18,276.76,2102.72,1349.9,752.82,EUR
20250627,23,14,3,6,3,INV575786,3,16.02,53.8,124.33,737.55,438.59,298.96,EUR
20250702,12,7,2,12,2,INV389930,5,48.85,109.68,303.25,5054.62,2679.75,2374.87,EUR
20240717,19,8,3,3,2,INV114835,5,7.2,18.65,1.46,132.82,78.05,54.77,EUR
20240509,32,4,1,10,2,INV592198,4,22.58,45.03,10.45,1006.33,787.27,219.06,EUR
20250504,8,27,1,7,2,INV177680,5,31.84,20.19,19.18,623.67,417.14,206.53,EUR
20241107,6,8,1,9,2,INV735770,5,39.75,52.88,219.69,1882.29,1195.54,686.75,EUR
20250329,20,28,4,5,3,INV751194,1,30.87,150.62,881.19,3768.45,2119.14,1649.31,EUR
20240804,17,22,1,3,1,INV282256,5,4.68,10.51,4.43,44.76,30.35,14.41,EUR
20241025,3,8,3,12,2,INV837135,4,4.49,54.35,12.91,231.12,170.42,60.7,EUR
20250826,13,14,1,9,1,INV779094,2,45.51,167.06,108.58,7494.32,4120.2,3374.12,EUR
20241110,39,24,3,8,1,INV591465,3,35.29,189.11,668.0,6005.69,3892.52,2113.17,EUR
20240323,39,2,4,12,2,INV733039,3,2.27,53.5,16.38,105.07,79.66,25.41,EUR
