datekey,regionkey,salesrepkey,productkey,targetrevenue,targetquantity
20240101,1,,,22779.29,2243.38
20240101,2,,,23936.27,2160.2
20240101,3,,,47670.4,1918.07
20240101,4,,,25536.53,2877.72
20240201,1,,,41567.63,2878.94
20240201,2,,,68114.58,2997.31
20240201,3,,,20408.7,2859.3
20240201,4,,,62338.6,2250.5
20240301,1,,,79860.9,2938.41
20240301,2,,,32786.6,1032.69
20240301,3,,,70029.08,1702.69
20240301,4,,,58017.1,610.72
20240401,1,,,70487.57,2686.88
20240401,2,,,25862.4,2702.84
20240401,3,,,37365.47,929.51
20240401,4,,,29389.08,2567.72
20240501,1,,,78769.56,2041.45
20240501,2,,,29483.79,2662.69
20240501,3,,,76957.81,2193.17
20240501,4,,,35664.63,2957.06
20240601,1,,,44955.71,1021.79
20240601,2,,,42876.08,1174.81
20240601,3,,,61547.68,1565.89
20240601,4,,,44171.6,927.68
20240701,1,,,59019.68,2637.93
20240701,2,,,78550.98,1177.11
20240701,3,,,40483.49,2304.67
20240701,4,,,70072.37,2571.68
20240801,1,,,25007.62,2575.13
20240801,2,,,62673.21,577.35
20240801,3,,,67170.57,2892.14
20240801,4,,,40337.71,707.26
20240901,1,,,38949.85,1106.06
20240901,2,,,24203.17,781.26
20240901,3,,,76623.69,2028.12
20240901,4,,,74678.74,2905.22
20241001,1,,,68761.99,1516.11
20241001,2,,,69831.71,877.76
20241001,3,,,44374.07,2451.15
20241001,4,,,67930.25,2256.96
20241101,1,,,36441.81,2817.35
20241101,2,,,65395.67,2991.72
20241101,3,,,56417.09,1542.85
20241101,4,,,70840.78,1141.67
20241201,1,,,50145.5,2727.38
20241201,2,,,42561.44,1292.06
20241201,3,,,40996.25,2593.48
20241201,4,,,30148.46,1274.04
20250101,1,,,71894.85,2392.8
20250101,2,,,43207.4,2691.82
20250101,3,,,59775.49,2230.62
20250101,4,,,44901.87,774.07
20250201,1,,,63734.52,1730.07
20250201,2,,,71164.02,2699.52
20250201,3,,,64323.81,898.4
20250201,4,,,66630.53,773.43
20250301,1,,,26948.54,1904.39
20250301,2,,,69640.24,742.84
20250301,3,,,23331.0,2911.27
20250301,4,,,21263.68,689.1
20250401,1,,,49952.97,2464.19
20250401,2,,,39819.13,2776.22
20250401,3,,,22522.32,926.01
20250401,4,,,49514.27,1871.0
20250501,1,,,71016.67,1315.25
20250501,2,,,22798.3,1177.08
20250501,3,,,37381.52,2755.77
20250501,4,,,74368.22,1197.48
20250601,1,,,28243.93,2932.31
20250601,2,,,35634.61,862.38
20250601,3,,,44264.27,2477.43
20250601,4,,,21126.94,1847.05
20250701,1,,,61998.66,2620.12
20250701,2,,,23887.85,2547.85
20250701,3,,,33639.84,2172.7
20250701,4,,,59475.57,2948.62
20250801,1,,,72919.18,1526.77
20250801,2,,,35123.99,2043.56
20250801,3,,,79637.12,607.5
20250801,4,,,28578.77,656.92
20250901,1,,,63537.15,2163.21
20250901,2,,,26983.88,874.67
20250901,3,,,74390.26,513.94
20250901,4,,,78551.04,2148.66
20251001,1,,,24715.77,2133.45
20251001,2,,,22645.48,1837.19
20251001,3,,,74100.43,1049.91
20251001,4,,,41596.84,1681.02
20251101,1,,,60301.61,1064.08
20251101,2,,,64894.29,2467.03
20251101,3,,,43486.03,2343.0
20251101,4,,,60990.23,1282.22
20251201,1,,,27289.94,1647.47
20251201,2,,,25012.43,594.4
20251201,3,,,67792.03,1581.05
20251201,4,,,24819.67,2579.28
